Id,OwnerId,Name,Effective_From__c,Loan_Number__c,Loan_Id_Ext__c,Tal_migrated__c
a0EFf0000005pQoMAI,005Ff000001F2fFIAS,a0EFf0000005pQo,2016-07-31,a00Ff000003QOtJIAW,HOU/DEL/0223/00140,YES
a0EFf0000005pQpMAI,005Ff000001F2fFIAS,a0EFf0000005pQp,2016-07-31,a00Ff000003QPKUIA4,HOU/DEL/0223/00579,YES
a0EFf0000005pQqMAI,005Ff000001F2fFIAS,a0EFf0000005pQq,2016-07-31,a00Ff000003X6S0IAK,HOU/DEL/0223/01237,YES
a0EFf0000005pQrMAI,005Ff000001F2fFIAS,a0EFf0000005pQr,2016-07-31,a00Ff000003X78mIAC,HOU/DEL/0223/02787,YES
a0EFf0000005pQsMAI,005Ff000001F2fFIAS,a0EFf0000005pQs,2018-03-31,a00Ff000003X6SdIAK,HOU/DEL/0223/01276,YES
a0EFf0000005pQtMAI,005Ff000001F2fFIAS,a0EFf0000005pQt,2014-12-31,a00Ff000003X78qIAC,HOU/DEL/0223/02791,YES
a0EFf0000005pQuMAI,005Ff000001F2fFIAS,a0EFf0000005pQu,2018-03-28,a00Ff000003X6uPIAS,HOU/DEL/0223/02196,YES
a0EFf0000005pQvMAI,005Ff000001F2fFIAS,a0EFf0000005pQv,2016-07-31,a00Ff000003X791IAC,HOU/DEL/0223/02802,YES
a0EFf0000005pQwMAI,005Ff000001F2fFIAS,a0EFf0000005pQw,2018-03-31,a00Ff000003X6ufIAC,HOU/DEL/0223/02212,YES
a0EFf0000005pQxMAI,005Ff000001F2fFIAS,a0EFf0000005pQx,2016-07-31,a00Ff000003X790IAC,HOU/DEL/0223/02801,YES
a0EFf0000005pQyMAI,005Ff000001F2fFIAS,a0EFf0000005pQy,2018-08-24,a00Ff000003X77UIAS,HOU/DEL/0223/02707,YES
a0EFf0000005pQzMAI,005Ff000001F2fFIAS,a0EFf0000005pQz,2018-03-31,a00Ff000003X7ArIAK,HOU/DEL/0223/02916,YES
a0EFf0000005pR0MAI,005Ff000001F2fFIAS,a0EFf0000005pR0,2018-03-31,a00Ff000003X7BAIA0,HOU/DEL/0223/02935,YES
a0EFf0000005pR1MAI,005Ff000001F2fFIAS,a0EFf0000005pR1,2018-03-31,a00Ff000003X7CdIAK,HOU/DEL/0223/03026,YES
a0EFf0000005pR2MAI,005Ff000001F2fFIAS,a0EFf0000005pR2,2018-03-31,a00Ff000003QSVcIAO,HOU/DEL/0223/00247,YES
a0EFf0000005pR3MAI,005Ff000001F2fFIAS,a0EFf0000005pR3,2018-03-31,a00Ff000003X79RIAS,HOU/DEL/0223/02828,YES
a0EFf0000005pR4MAI,005Ff000001F2fFIAS,a0EFf0000005pR4,2018-03-31,a00Ff000003X7CaIAK,HOU/DEL/0223/03023,YES
a0EFf0000005pR5MAI,005Ff000001F2fFIAS,a0EFf0000005pR5,2018-03-28,a00Ff000003X7CSIA0,HOU/DEL/0223/03015,YES
a0EFf0000005pR6MAI,005Ff000001F2fFIAS,a0EFf0000005pR6,2018-03-31,a00Ff000003QSOyIAO,HOU/DEL/0223/00062,YES
a0EFf0000005pR7MAI,005Ff000001F2fFIAS,a0EFf0000005pR7,2018-03-31,a00Ff000003QSVaIAO,HOU/DEL/0223/00245,YES
a0EFf0000005pR8MAI,005Ff000001F2fFIAS,a0EFf0000005pR8,2018-03-31,a00Ff000003X7AwIAK,HOU/DEL/0223/02921,YES
a0EFf0000005pR9MAI,005Ff000001F2fFIAS,a0EFf0000005pR9,2018-03-31,a00Ff000003X79aIAC,HOU/DEL/0223/02837,YES
a0EFf0000005pRAMAY,005Ff000001F2fFIAS,a0EFf0000005pRA,2018-03-31,a00Ff000003X7BxIAK,HOU/DEL/0223/02984,YES
a0EFf0000005pRBMAY,005Ff000001F2fFIAS,a0EFf0000005pRB,2016-07-31,a00Ff000003QOu1IAG,HOU/DEL/0223/00184,YES
a0EFf0000005pRCMAY,005Ff000001F2fFIAS,a0EFf0000005pRC,2018-03-31,a00Ff000003X7AFIA0,HOU/DEL/0223/02878,YES
a0EFf0000005pRDMAY,005Ff000001F2fFIAS,a0EFf0000005pRD,2018-03-31,a00Ff000003X7AEIA0,HOU/DEL/0223/02877,YES
a0EFf0000005pREMAY,005Ff000001F2fFIAS,a0EFf0000005pRE,2018-03-31,a00Ff000003X7BeIAK,HOU/DEL/0223/02965,YES
a0EFf0000005pRFMAY,005Ff000001F2fFIAS,a0EFf0000005pRF,2014-12-31,a00Ff000003QSOrIAO,HOU/DEL/0223/00055,YES
a0EFf0000005pRGMAY,005Ff000001F2fFIAS,a0EFf0000005pRG,2018-03-31,a00Ff000003X79yIAC,HOU/DEL/0223/02861,YES
a0EFf0000005pRHMAY,005Ff000001F2fFIAS,a0EFf0000005pRH,2018-03-31,a00Ff000003QSOtIAO,HOU/DEL/0223/00057,YES
a0EFf0000005pRIMAY,005Ff000001F2fFIAS,a0EFf0000005pRI,2018-03-31,a00Ff000003QOuCIAW,HOU/DEL/0223/00195,YES
a0EFf0000005pRJMAY,005Ff000001F2fFIAS,a0EFf0000005pRJ,2018-03-31,a00Ff000003X6vgIAC,HOU/DEL/0223/02275,YES
a0EFf0000005pRKMAY,005Ff000001F2fFIAS,a0EFf0000005pRK,2018-08-06,a00Ff000003QOtfIAG,HOU/DEL/0223/00162,YES
a0EFf0000005pRLMAY,005Ff000001F2fFIAS,a0EFf0000005pRL,2018-08-06,a00Ff000003X6vMIAS,HOU/DEL/0223/02255,YES
a0EFf0000005pRMMAY,005Ff000001F2fFIAS,a0EFf0000005pRM,2018-08-24,a00Ff000003X7C4IAK,HOU/DEL/0223/02991,YES
a0EFf0000005pRNMAY,005Ff000001F2fFIAS,a0EFf0000005pRN,2018-08-06,a00Ff000003QPKvIAO,HOU/DEL/0223/00606,YES
a0EFf0000005pROMAY,005Ff000001F2fFIAS,a0EFf0000005pRO,2018-08-24,a00Ff000003X7CEIA0,HOU/DEL/0223/03001,YES
a0EFf0000005pRPMAY,005Ff000001F2fFIAS,a0EFf0000005pRP,2018-08-24,a00Ff000003X7B4IAK,HOU/DEL/0223/02929,YES
a0EFf0000005pRQMAY,005Ff000001F2fFIAS,a0EFf0000005pRQ,2018-08-24,a00Ff000003X79yIAC,HOU/DEL/0223/02861,YES
a0EFf0000005pRRMAY,005Ff000001F2fFIAS,a0EFf0000005pRR,2018-08-24,a00Ff000003X7AEIA0,HOU/DEL/0223/02877,YES
a0EFf0000005pRSMAY,005Ff000001F2fFIAS,a0EFf0000005pRS,2018-08-24,a00Ff000003X7D9IAK,HOU/DEL/0223/03058,YES
a0EFf0000005pRTMAY,005Ff000001F2fFIAS,a0EFf0000005pRT,2018-08-24,a00Ff000003QPLCIA4,HOU/DEL/0223/00623,YES
a0EFf0000005pRUMAY,005Ff000001F2fFIAS,a0EFf0000005pRU,2018-03-31,a00Ff000003QSVjIAO,HOU/DEL/0223/00254,YES
a0EFf0000005pRVMAY,005Ff000001F2fFIAS,a0EFf0000005pRV,2018-08-24,a00Ff000003X6u8IAC,HOU/DEL/0223/02179,YES
a0EFf0000005pRWMAY,005Ff000001F2fFIAS,a0EFf0000005pRW,2018-08-24,a00Ff000003X6uHIAS,HOU/DEL/0223/02188,YES
a0EFf0000005pRXMAY,005Ff000001F2fFIAS,a0EFf0000005pRX,2018-03-31,a00Ff000003X7D0IAK,HOU/DEL/0223/03049,YES
a0EFf0000005pRYMAY,005Ff000001F2fFIAS,a0EFf0000005pRY,2018-03-31,a00Ff000003X7D9IAK,HOU/DEL/0223/03058,YES
a0EFf0000005pRZMAY,005Ff000001F2fFIAS,a0EFf0000005pRZ,2018-03-31,a00Ff000003QSP1IAO,HOU/DEL/0223/00065,YES
a0EFf0000005pRaMAI,005Ff000001F2fFIAS,a0EFf0000005pRa,2018-08-24,a00Ff000003QOtsIAG,HOU/DEL/0223/00175,YES
a0EFf0000005pRbMAI,005Ff000001F2fFIAS,a0EFf0000005pRb,2018-03-31,a00Ff000003QPLIIA4,HOU/DEL/0223/00629,YES
a0EFf0000005pRcMAI,005Ff000001F2fFIAS,a0EFf0000005pRc,2018-03-31,a00Ff000003X7D1IAK,HOU/DEL/0223/03050,YES
a0EFf0000005pRdMAI,005Ff000001F2fFIAS,a0EFf0000005pRd,2018-08-24,a00Ff000003X79GIAS,HOU/DEL/0223/02817,YES
a0EFf0000005pReMAI,005Ff000001F2fFIAS,a0EFf0000005pRe,2018-03-31,a00Ff000003X7DCIA0,HOU/DEL/0223/03061,YES
a0EFf0000005pRfMAI,005Ff000001F2fFIAS,a0EFf0000005pRf,2018-08-24,a00Ff000003X6ugIAC,HOU/DEL/0223/02213,YES
a0EFf0000005pRgMAI,005Ff000001F2fFIAS,a0EFf0000005pRg,2018-08-24,a00Ff000003QOtdIAG,HOU/DEL/0223/00160,YES
a0EFf0000005pRhMAI,005Ff000001F2fFIAS,a0EFf0000005pRh,2018-08-24,a00Ff000003QSVBIA4,HOU/DEL/0223/00220,YES
a0EFf0000005pRiMAI,005Ff000001F2fFIAS,a0EFf0000005pRi,2018-08-24,a00Ff000003X78tIAC,HOU/DEL/0223/02794,YES
a0EFf0000005pRjMAI,005Ff000001F2fFIAS,a0EFf0000005pRj,2018-03-31,a00Ff000003X7D8IAK,HOU/DEL/0223/03057,YES
a0EFf0000005pRkMAI,005Ff000001F2fFIAS,a0EFf0000005pRk,2018-08-06,a00Ff000003X6RPIA0,HOU/DEL/0223/01200,YES
